Battles of Prince of Persia
Beyblade Metal Fusion Cyber Pegasus
Call of Duty Modern Warfare Mobilized
Crash Boom Bang
Crash of the Titans
Crime Scene
Diddy Kong Racing DS
Donkey Kong Jungle Climber
Dragon Quest IX: Sentinels of the Starry Skies
Dragon Quest Monsters Joker
Dragon Quest Monsters: Joker 2
Dragon Quest V Hand of the Heavenly Bride
Drawn to Life: The Next Chapter
Final Fantasy III
GoldenEye Rogue Agent
Grand Theft Auto: Chinatown Wars
Harry Potter and the Deathly Hallows: Part 2
Hi Hamtaro Little Hamsters Big Adventure
Inazuma Eleven
Inazuma Eleven 2: Firestorm
Justice League Heroes
Kirby: Mass Attack
LEGO Rock Band
Mario & Luigi: Bowser's Inside Story
Mario and Luigi Partners in Time
Mario and Sonic at the Olympic Games
Mario Slam Basketball
Mario vs. Donkey Kong 2 March of Minis
Mario vs. Donkey Kong Mini-Land Mayhem
Metroid Prime Hunters
Mini Ninjas
Need for Speed Carbon Own the City
Need for Speed Underground 2
New Super Mario Bros
Ninja Town
Nintendogs Chihuahua and Friends
Nintendogs Dalmatian and Friends
Pokemon Black Version 2
Pokemon Dash
Pokemon Diamond
Pokemon Mystery Dungeon Blue Rescue Team
Pokemon Mystery Dungeon Explorers of Darkness
Pokemon Mystery Dungeon Explorers of Sky
Pokemon Mystery Dungeon Explorers of Time
Pokemon Noire
Pokemon Pearl
Pokemon Platinum
Pokemon Ranger
Pokemon Ranger Shadows of Almia
Pokemon Ranger: Guardian Signs
Pokemon SoulSilver Version
Professor Layton and Pandora's Box
Professor Layton and the Curious Village
Professor Layton and the Lost Future
Professor Layton and the Spectre's Call
Puyo Pop Fever
Rayman DS
Rayman Raving Rabbids 2
Rhythm Paradise
Scooby Doo Who's Watching Who
Sega Superstars Tennis
Sonic Rush
Sonic Rush Adventure
Spiderman 2
Star Fox Command
Super Princess Peach
Superman Returns
Syberia
Teenage Mutant Ninja Turtles: Arcade Attack
The Simpsons Game
The Sims 3
Tomb Raider Legend
Tony Hawk American Sk8land
Warhammer 40000 Squad Command
Yoshi's Island DS
Zelda Phantom Hourglass

